日期 天气状况 气温 风力风向
2015年12月21日 霾/霾 6℃/-2℃ 西南风≤3级/东北风≤3级
2015年12月22日 霾/阴 7℃/-2℃ 东北风≤3级/东北风≤3级
2015年12月23日 霾/阴 5℃/-1℃ 西北风≤3级/西风≤3级
2015年12月24日 多云/晴 8℃/-2℃ 西风≤3级/西风≤3级
2015年12月25日 晴/晴 12℃/-1℃ 东风≤3级/东北风≤3级
2015年12月26日 晴/晴 14℃/0℃ 东北风≤3级/东北风≤3级
2015年12月27日 晴/晴 10℃/-3℃ 东北风≤3级/东北风≤3级
2015年12月28日 多云/霾 5℃/-3℃ 东北风≤3级/东北风≤3级
2015年12月29日 霾/霾 8℃/-2℃ 东北风≤3级/东北风≤3级
2015年12月30日 晴/霾 10℃/-4℃ 东北风≤3级/东北风≤3级
2015年12月31日 霾/霾 9℃/-1℃ 东北风≤3级/东风≤3级
2016年01月01日 霾/霾 12℃/-1℃ 东北风≤3级/西南风≤3级
2016年01月02日 霾/霾 12℃/-1℃ 东北风≤3级/东北风≤3级
2016年01月03日 霾/霾 10℃/0℃ 东北风≤3级/东风≤3级
2016年01月04日 霾/霾 10℃/1℃ 东北风≤3级/东北风≤3级
2016年01月05日 霾/霾 4℃/-1℃ 东北风≤3级/东北风≤3级
2016年01月06日 霾/霾 4℃/-2℃ 东北风≤3级/东北风≤3级
2016年01月07日 霾/多云 4℃/-2℃ 东北风≤3级/北风≤3级
2016年01月08日 阴/霾 3℃/-3℃ 东北风≤3级/东北风≤3级
2016年01月09日 霾/阴 4℃/-2℃ 东北风≤3级/西南风≤3级
2016年01月10日 霾/霾 6℃/-2℃ 西南风≤3级/西南风≤3级
2016年01月11日 多云/雨夹雪 4℃/0℃ 西南风≤3级/西南风≤3级
2016年01月12日 小雪/多云 2℃/-3℃ 西南风≤3级/东北风≤3级
2016年01月13日 晴/霾 4℃/-3℃ 东北风≤3级/东北风≤3级
2016年01月14日 晴/晴 6℃/-4℃ 东北风≤3级/东风≤3级
2016年01月15日 晴/多云 8℃/-3℃ 东北风≤3级/东北风≤3级
2016年01月16日 多云/多云 8℃/-4℃ 东北风≤3级/东北风≤3级
2016年01月17日 晴/晴 7℃/-2℃ 东北风≤3级/东风≤3级
2016年01月18日 晴/晴 4℃/-5℃ 东北风≤3级/东北风≤3级
2016年01月19日 阴/小雪 3℃/-3℃ 东北风≤3级/西南风≤3级
2016年01月20日 小雪/阴 2℃/-4℃ 东北风≤3级/东北风≤3级
2016年01月21日 阴/小雪 4℃/-2℃ 东风≤3级/北风≤3级
2016年01月22日 阴/多云 2℃/-7℃ 北风3-4级/西北风3-4级
2016年01月23日 晴/晴 1℃/-12℃ 西北风≤3级/西风≤3级
2016年01月24日 晴/晴 -2℃/-10℃ 西风≤3级/东北风≤3级
2016年01月25日 晴/晴 2℃/-9℃ 西北风≤3级/东北风≤3级
2016年01月26日 晴/晴 2℃/-8℃ 东北风≤3级/东北风≤3级
2016年01月27日 多云/多云 2℃/-4℃ 东北风≤3级/东北风≤3级
2016年01月28日 多云/多云 5℃/-4℃ 西南风≤3级/东北风≤3级
2016年01月29日 阴/小雪 6℃/-3℃ 西南风≤3级/西南风≤3级
2016年01月30日 雨夹雪/雨夹雪 4℃/-2℃ 西南风≤3级/东风≤3级
2016年01月31日 小雪/阴 2℃/-5℃ 西南风≤3级/东北风≤3级
2016年02月01日 阴/晴 1℃/-6℃ 东北风≤3级/东北风≤3级
2016年02月02日 晴/晴 4℃/-5℃ 东北风≤3级/东北风≤3级
2016年02月03日 多云/阴 6℃/-3℃ 东北风≤3级/东北风≤3级
2016年02月04日 多云/晴 9℃/-1℃ 南风≤3级/南风≤3级
2016年02月05日 晴/晴 9℃/-3℃ 东北风≤3级/西北风≤3级
2016年02月06日 晴/晴 7℃/-2℃ 西北风≤3级/东北风≤3级
2016年02月07日 晴/晴 13℃/-2℃ 东北风≤3级/东北风≤3级
2016年02月08日 晴/霾 13℃/-1℃ 东北风≤3级/东北风≤3级
2016年02月09日 多云/霾 14℃/2℃ 东北风≤3级/西南风≤3级
2016年02月10日 阴/霾 11℃/4℃ 西南风≤3级/东北风≤3级
2016年02月11日 阴/小雨 14℃/4℃ 东北风≤3级/西风≤3级
2016年02月12日 小雨/小雨 8℃/2℃ 西风≤3级/东风≤3级
2016年02月13日 阴/阴 6℃/-3℃ 东风≤3级/西风≤3级
2016年02月14日 阴/晴 3℃/-4℃ 西风≤3级/西南风≤3级
2016年02月15日 晴/晴 5℃/-4℃ 西风≤3级/东北风≤3级
2016年02月16日 晴/多云 8℃/-4℃ 西南风≤3级/西南风≤3级
2016年02月17日 晴/晴 10℃/-1℃ 东北风≤3级/西风≤3级
2016年02月18日 多云/多云 11℃/1℃ 东北风≤3级/北风≤3级
2016年02月19日 晴/霾 12℃/-1℃ 西风≤3级/西北风3-4级
2016年02月20日 晴/多云 8℃/-3℃ 西北风≤3级/西北风≤3级
2016年02月21日 小雨/阴 4℃/0℃ 西南风≤3级/西南风≤3级
2016年02月22日 晴/多云 10℃/0℃ 东北风≤3级/东北风≤3级
2016年02月23日 多云/阴 10℃/1℃ 东北风≤3级/东北风≤3级
2016年02月24日 多云/多云 10℃/0℃ 东风≤3级/东北风≤3级
2016年02月25日 多云/晴 15℃/1℃ 东北风≤3级/西风≤3级
2016年02月26日 晴/晴 15℃/4℃ 西风≤3级/西风≤3级
2016年02月27日 晴/多云 18℃/5℃ 西风≤3级/西风≤3级
2016年02月28日 晴/晴 17℃/3℃ 西北风≤3级/东北风≤3级
2016年02月29日 晴/多云 12℃/2℃ 东北风≤3级/东北风≤3级
2016年03月01日 晴/阴 12℃/3℃ 无持续风向≤3级/东北风≤3级
2016年03月02日 多云/晴 20℃/5℃ 东北风≤3级/东北风≤3级
2016年03月03日 晴/多云 20℃/6℃ 东北风≤3级/北风≤3级
2016年03月04日 多云/多云 18℃/5℃ 东北风≤3级/西北风≤3级
2016年03月05日 霾/多云 14℃/4℃ 北风≤3级/东北风≤3级
2016年03月06日 多云/多云 16℃/8℃ 东北风≤3级/东北风≤3级
2016年03月07日 阴/阴 11℃/6℃ 东风≤3级/东北风≤3级
2016年03月08日 阴/小雨 10℃/4℃ 东风≤3级/东北风≤3级
2016年03月09日 小雨/阴 4℃/0℃ 东风≤3级/东北风≤3级
2016年03月10日 多云/多云 7℃/-1℃ 东北风≤3级/东北风≤3级
2016年03月11日 晴/多云 11℃/2℃ 东北风≤3级/东北风≤3级
2016年03月12日 多云/多云 13℃/6℃ 东北风≤3级/东北风≤3级
2016年03月13日 晴/晴 16℃/3℃ 东北风≤3级/东北风≤3级
2016年03月14日 阴/阴 14℃/7℃ 西南风≤3级/东北风≤3级
2016年03月15日 阴/多云 14℃/8℃ 西南风≤3级/东风≤3级
2016年03月16日 小雨/阴 15℃/8℃ 东风≤3级/东风≤3级
2016年03月17日 阴/阴 16℃/7℃ 东风≤3级/东北风≤3级
2016年03月18日 多云/晴 20℃/9℃ 东北风≤3级/东北风≤3级
2016年03月19日 晴/阴 20℃/12℃ 东北风≤3级/东风≤3级
2016年03月20日 小雨/小雨 16℃/12℃ 西南风≤3级/西南风≤3级
2016年03月21日 阴/阴 15℃/10℃ 东风≤3级/南风≤3级
2016年03月22日 阴/小雨 14℃/10℃ 西南风≤3级/东风≤3级
2016年03月23日 阴/霾 13℃/8℃ 西南风≤3级/西南风≤3级
2016年03月24日 阴/阴 15℃/7℃ 东风≤3级/东风≤3级
2016年03月25日 阴/阴 14℃/5℃ 西南风≤3级/东北风≤3级
2016年03月26日 晴/晴 17℃/3℃ 东北风≤3级/东北风≤3级
2016年03月27日 晴/多云 20℃/6℃ 东北风≤3级/东北风≤3级
2016年03月28日 多云/多云 22℃/10℃ 东北风≤3级/东北风≤3级
2016年03月29日 阴/多云 23℃/10℃ 东风≤3级/东北风≤3级
2016年03月30日 多云/多云 25℃/11℃ 东北风≤3级/东北风≤3级
2016年03月31日 晴/晴 26℃/11℃ 东北风≤3级/东北风≤3级
2016年04月01日 多云/多云 26℃/15℃ 东北风≤3级/东风≤3级
2016年04月02日 阴/小雨 27℃/14℃ 东北风≤3级/东风≤3级
2016年04月03日 小雨/小雨 18℃/11℃ 东风≤3级/东风≤3级
2016年04月04日 阴/小雨 14℃/11℃ 东风≤3级/东风≤3级
2016年04月05日 小雨/小雨 17℃/12℃ 西南风≤3级/西南风≤3级
2016年04月06日 小雨/多云 18℃/11℃ 东风≤3级/东风≤3级
2016年04月07日 多云/多云 21℃/13℃ 东北风≤3级/东北风≤3级
2016年04月08日 多云/阴 21℃/11℃ 东风≤3级/东风≤3级
2016年04月09日 阴/阴 23℃/13℃ 东北风≤3级/东风≤3级
2016年04月10日 多云/阴 27℃/14℃ 西南风≤3级/西南风≤3级
2016年04月11日 小雨/多云 23℃/15℃ 西南风≤3级/东北风≤3级
2016年04月12日 多云/多云 25℃/15℃ 东风≤3级/东风≤3级
2016年04月13日 多云/阴 25℃/13℃ 东风≤3级/东风≤3级
2016年04月14日 阴/小到中雨 23℃/14℃ 东风≤3级/东风≤3级
2016年04月15日 小到中雨/阴 19℃/12℃ 东风≤3级/东风≤3级
2016年04月16日 多云/阴 21℃/9℃ 东风≤3级/东风≤3级
2016年04月17日 晴/晴 24℃/9℃ 东风≤3级/东风≤3级
2016年04月18日 晴/晴 26℃/12℃ 东北风≤3级/东北风≤3级
2016年04月19日 小雨/小雨 26℃/13℃ 西南风≤3级/西南风≤3级
2016年04月20日 多云/晴 28℃/13℃ 东北风≤3级/东北风≤3级
2016年04月21日 多云/多云 28℃/13℃ 东北风≤3级/东风≤3级
2016年04月22日 小雨/小雨 28℃/14℃ 东风≤3级/东北风≤3级
2016年04月23日 小雨/阴 22℃/15℃ 东风≤3级/东风≤3级
2016年04月24日 多云/多云 24℃/14℃ 东风≤3级/东风≤3级
2016年04月25日 小雨/小雨 24℃/15℃ 东风≤3级/东风≤3级
2016年04月26日 多云/多云 25℃/16℃ 东风≤3级/东北风≤3级
2016年04月27日 晴/多云 29℃/15℃ 东北风≤3级/东北风≤3级
2016年04月28日 晴/晴 29℃/14℃ 东北风≤3级/东北风≤3级
2016年04月29日 多云/多云 30℃/15℃ 东北风≤3级/东北风≤3级
2016年04月30日 晴/多云 30℃/18℃ 东北风≤3级/东北风≤3级
2016年05月01日 多云/多云 30℃/20℃ 东北风≤3级/东风≤3级
2016年05月02日 晴/晴 27℃/13℃ 北风≤3级/东北风≤3级
2016年05月03日 晴/晴 26℃/16℃ 东风≤3级/东北风≤3级
2016年05月04日 多云/多云 32℃/20℃ 东北风≤3级/东北风≤3级
2016年05月05日 晴/晴 28℃/20℃ 东北风3-4级/东风≤3级
2016年05月06日 阴/阴 25℃/17℃ 东风≤3级/东风≤3级
2016年05月07日 小雨/小雨 22℃/11℃ 西南风≤3级/东风≤3级
2016年05月08日 多云/多云 21℃/14℃ 东北风≤3级/东北风≤3级
2016年05月09日 晴/晴 27℃/18℃ 东北风≤3级/东北风≤3级
2016年05月10日 晴/晴 32℃/18℃ 东北风≤3级/东风≤3级
2016年05月11日 晴/多云 34℃/21℃ 东风≤3级/东风≤3级
2016年05月12日 阴/霾 24℃/16℃ 东风≤3级/西南风≤3级
2016年05月13日 小雨/小到中雨 21℃/13℃ 东北风≤3级/西南风≤3级
2016年05月14日 中雨/阴 13℃/10℃ 西南风≤3级/东北风≤3级
2016年05月15日 晴/晴 24℃/12℃ 东北风≤3级/东北风≤3级
2016年05月16日 晴/多云 26℃/15℃ 东北风≤3级/东风≤3级
2016年05月17日 阴/阴 27℃/18℃ 东风≤3级/东风≤3级
2016年05月18日 多云/多云 28℃/19℃ 东风≤3级/东风≤3级
2016年05月19日 多云/阴 26℃/18℃ 东风≤3级/东风≤3级
2016年05月20日 多云/晴 26℃/18℃ 东风≤3级/东风≤3级
2016年05月21日 多云/多云 26℃/19℃ 东风≤3级/东风≤3级
2016年05月22日 阴/小雨 24℃/16℃ 东风≤3级/东风≤3级
2016年05月23日 阴/晴 24℃/15℃ 东风≤3级/东风≤3级
2016年05月24日 晴/阴 29℃/16℃ 东风≤3级/西南风≤3级
2016年05月25日 阴/小雨 21℃/13℃ 东风≤3级/东风≤3级
2016年05月26日 小雨/小雨 18℃/13℃ 西南风≤3级/东风≤3级
2016年05月27日 小雨/阴 17℃/13℃ 东风≤3级/东风≤3级
2016年05月28日 多云/晴 25℃/15℃ 东风≤3级/东风≤3级
2016年05月29日 晴/多云 28℃/18℃ 东北风≤3级/东北风≤3级
2016年05月30日 多云/小雨 29℃/21℃ 东北风≤3级/东风≤3级
2016年05月31日 小雨/小雨 26℃/22℃ 东风≤3级/东风≤3级
2016年06月01日 中雨/中雨 24℃/17℃ 东风≤3级/东风≤3级
2016年06月02日 小雨/多云 19℃/14℃ 西南风≤3级/东风≤3级
2016年06月03日 多云/晴 28℃/18℃ 东北风≤3级/东北风≤3级
2016年06月04日 阴/多云 31℃/21℃ 东风≤3级/东风≤3级
2016年06月05日 多云/晴 33℃/21℃ 东北风≤3级/东风≤3级
2016年06月06日 多云/阴 31℃/22℃ 东风≤3级/东风≤3级
2016年06月07日 阵雨/多云 31℃/20℃ 东北风≤3级/东北风≤3级
2016年06月08日 阴/多云 31℃/21℃ 东风≤3级/东北风≤3级
2016年06月09日 阴/多云 32℃/22℃ 东北风≤3级/东北风≤3级
2016年06月10日 多云/多云 35℃/23℃ 东北风≤3级/东北风≤3级
2016年06月11日 雷阵雨/阵雨 34℃/22℃ 东北风≤3级/东北风≤3级
2016年06月12日 多云/晴 32℃/21℃ 东风≤3级/东风≤3级
2016年06月13日 晴/多云 36℃/22℃ 东北风≤3级/东北风≤3级
2016年06月14日 多云/多云 31℃/20℃ 东北风≤3级/东北风≤3级
2016年06月15日 多云/晴 31℃/20℃ 东北风≤3级/东北风≤3级
2016年06月16日 晴/晴 34℃/22℃ 东北风≤3级/东北风≤3级
2016年06月17日 晴/多云 37℃/24℃ 东北风≤3级/东北风≤3级
2016年06月18日 晴/多云 37℃/26℃ 东北风≤3级/东北风≤3级
2016年06月19日 晴/晴 36℃/26℃ 东风≤3级/东北风≤3级
2016年06月20日 多云/多云 36℃/27℃ 东风≤3级/东风≤3级
2016年06月21日 多云/多云 34℃/26℃ 东北风≤3级/东北风≤3级
2016年06月22日 多云/大雨 35℃/24℃ 东风≤3级/东风≤3级
2016年06月23日 中到大雨/阴 27℃/20℃ 东北风≤3级/东北风≤3级
2016年06月24日 多云/多云 28℃/21℃ 东风≤3级/东风≤3级
2016年06月25日 晴/阴 32℃/21℃ 东北风≤3级/东北风≤3级
2016年06月26日 阴/多云 31℃/21℃ 东风≤3级/东北风≤3级
2016年06月27日 多云/晴 33℃/23℃ 东风≤3级/东北风≤3级
2016年06月28日 晴/晴 35℃/25℃ 东北风≤3级/东风≤3级
2016年06月29日 晴/多云 37℃/25℃ 东北风≤3级/东北风≤3级
2016年06月30日 中雨/多云 28℃/24℃ 东风≤3级/东风≤3级
2016年07月01日 多云/晴 36℃/24℃ 东风≤3级/东风≤3级
2016年07月02日 多云/多云 36℃/24℃ 东风≤3级/东北风≤3级
2016年07月03日 多云/多云 36℃/23℃ 东北风≤3级/东风≤3级
2016年07月04日 晴/晴 36℃/24℃ 东风≤3级/东风≤3级
2016年07月05日 晴/晴 35℃/24℃ 东北风≤3级/东北风≤3级
2016年07月06日 多云/多云 33℃/25℃ 东北风≤3级/东风≤3级
2016年07月07日 阴/阴 31℃/25℃ 东风≤3级/东风≤3级
2016年07月08日 阵雨/多云 34℃/28℃ 东风≤3级/东风≤3级
2016年07月09日 多云/多云 36℃/27℃ 东北风≤3级/东北风≤3级
2016年07月10日 阵雨/小雨 33℃/25℃ 东风≤3级/东风≤3级
2016年07月11日 阴/多云 32℃/25℃ 东风≤3级/东风≤3级
2016年07月12日 阴/小雨 30℃/23℃ 东北风≤3级/东北风≤3级
2016年07月13日 小雨/小到中雨 30℃/21℃ 东风≤3级/东风≤3级
2016年07月14日 中雨/多云 24℃/18℃ 东北风≤3级/东风≤3级
2016年07月15日 晴/晴 33℃/22℃ 东风≤3级/东北风≤3级
2016年07月16日 晴/多云 36℃/23℃ 东北风≤3级/东北风≤3级
2016年07月17日 多云/阴 35℃/24℃ 东风≤3级/东风≤3级
2016年07月18日 小雨/中雨 31℃/23℃ 东风≤3级/东风≤3级
2016年07月19日 小到中雨/多云 30℃/22℃ 东风≤3级/东风≤3级
2016年07月20日 多云/多云 33℃/24℃ 东风≤3级/东北风≤3级
2016年07月21日 多云/晴 35℃/25℃ 东风≤3级/东风≤3级
2016年07月22日 多云/阴 34℃/24℃ 东风≤3级/东风≤3级
2016年07月23日 多云/多云 34℃/26℃ 东北风≤3级/东风≤3级
2016年07月24日 多云/阵雨 36℃/25℃ 东风≤3级/东风≤3级
2016年07月25日 小雨/阴 30℃/23℃ 东风≤3级/东北风≤3级
2016年07月26日 小雨/小到中雨 30℃/24℃ 东风≤3级/东风≤3级
2016年07月27日 多云/晴 35℃/24℃ 东风≤3级/东风≤3级
2016年07月28日 晴/晴 37℃/25℃ 东北风≤3级/东北风≤3级
2016年07月29日 多云/晴 36℃/26℃ 东风≤3级/东风≤3级
2016年07月30日 多云/阵雨 34℃/26℃ 东风≤3级/东风≤3级
2016年07月31日 阵雨/多云 34℃/24℃ 东风≤3级/东风≤3级
2016年08月01日 阴/多云 36℃/26℃ 东风≤3级/东风≤3级
2016年08月02日 多云/多云 34℃/25℃ 东风≤3级/东风≤3级
2016年08月03日 多云/多云 33℃/25℃ 东风≤3级/东风≤3级
2016年08月04日 多云/多云 30℃/22℃ 东风≤3级/东风≤3级
2016年08月05日 阵雨/阴 32℃/24℃ 东风≤3级/东风≤3级
2016年08月06日 阵雨/阵雨 30℃/23℃ 东风≤3级/东风≤3级
2016年08月07日 阵雨/阴 30℃/24℃ 东风≤3级/东风≤3级
2016年08月08日 多云/多云 31℃/24℃ 东风≤3级/东风≤3级
2016年08月09日 多云/多云 31℃/24℃ 东风≤3级/东风≤3级
2016年08月10日 多云/多云 34℃/24℃ 东风≤3级/东风≤3级
2016年08月11日 多云/多云 34℃/25℃ 东风≤3级/东风≤3级
2016年08月12日 多云/多云 35℃/26℃ 东风≤3级/东风≤3级
2016年08月13日 多云/多云 37℃/28℃ 东北风≤3级/东风≤3级
2016年08月14日 晴/多云 37℃/28℃ 东风≤3级/东风≤3级
2016年08月15日 晴/多云 38℃/29℃ 东风≤3级/东风≤3级
2016年08月16日 多云/多云 37℃/26℃ 东风≤3级/东风≤3级
2016年08月17日 多云/晴 38℃/27℃ 东风≤3级/东风≤3级
2016年08月18日 多云/多云 38℃/28℃ 东风≤3级/东风≤3级
2016年08月19日 多云/多云 37℃/27℃ 东风≤3级/东风≤3级
2016年08月20日 多云/多云 35℃/26℃ 东风≤3级/东风≤3级
2016年08月21日 多云/晴 36℃/26℃ 东风≤3级/东风≤3级
2016年08月22日 晴/多云 35℃/25℃ 东风≤3级/东风≤3级
2016年08月23日 晴/多云 35℃/26℃ 东风≤3级/东北风≤3级
2016年08月24日 多云/中雨 35℃/25℃ 东风≤3级/东风≤3级
2016年08月25日 小到中雨/阴 27℃/20℃ 东北风≤3级/东风≤3级
2016年08月26日 阴/多云 24℃/21℃ 东风≤3级/东风≤3级
2016年08月27日 晴/晴 27℃/18℃ 东风≤3级/东北风≤3级
2016年08月28日 晴/多云 31℃/19℃ 东风≤3级/东风≤3级
2016年08月29日 阴/阴 29℃/20℃ 东风≤3级/东北风≤3级
2016年08月30日 多云/多云 28℃/20℃ 东风≤3级/东北风≤3级
2016年08月31日 多云/晴 31℃/20℃ 东北风≤3级/东北风≤3级
2016年09月01日 晴/晴 33℃/20℃ 东北风≤3级/东北风≤3级
2016年09月02日 晴/多云 33℃/21℃ 东风≤3级/东风≤3级
2016年09月03日 阴/阴 30℃/21℃ 东北风≤3级/东北风≤3级
2016年09月04日 多云/多云 31℃/22℃ 东风≤3级/东风≤3级
2016年09月05日 阴/阴 29℃/22℃ 东风≤3级/东风≤3级
2016年09月06日 阴/多云 26℃/16℃ 东风≤3级/东风≤3级
2016年09月07日 多云/晴 31℃/17℃ 东风≤3级/东风≤3级
2016年09月08日 晴/多云 32℃/20℃ 东北风≤3级/东风≤3级
2016年09月09日 小雨/多云 28℃/19℃ 东风≤3级/东风≤3级
2016年09月10日 晴/晴 32℃/17℃ 东风≤3级/东风≤3级
2016年09月11日 多云/多云 31℃/19℃ 东风≤3级/东北风≤3级
2016年09月12日 阴/小雨 26℃/18℃ 东风≤3级/西南风≤3级
2016年09月13日 阵雨/阴 27℃/19℃ 东北风≤3级/东风≤3级
2016年09月14日 小雨/小雨 26℃/19℃ 东北风≤3级/东风≤3级
2016年09月15日 阵雨/多云 28℃/19℃ 东风≤3级/东风≤3级
2016年09月16日 多云/多云 29℃/20℃ 东风≤3级/东北风≤3级
2016年09月17日 阴/阴 29℃/21℃ 西南风≤3级/东风≤3级
2016年09月18日 小雨/小到中雨 22℃/19℃ 东北风≤3级/东风≤3级
2016年09月19日 中雨/小雨 20℃/17℃ 东风≤3级/西南风≤3级
2016年09月20日 阴/阴 24℃/16℃ 东风≤3级/东风≤3级
2016年09月21日 多云/晴 27℃/15℃ 东风≤3级/东风≤3级
2016年09月22日 多云/多云 28℃/16℃ 东北风≤3级/东北风≤3级
2016年09月23日 多云/阴 27℃/19℃ 东风≤3级/东风≤3级
2016年09月24日 小雨/阴 25℃/17℃ 西南风≤3级/西南风≤3级
2016年09月25日 多云/小雨 25℃/19℃ 东北风≤3级/东风≤3级
2016年09月26日 小雨/小雨 24℃/18℃ 东风≤3级/东风≤3级
2016年09月27日 小雨/小雨 23℃/16℃ 东风≤3级/东风≤3级
2016年09月28日 阴/阴 24℃/15℃ 东风≤3级/东风≤3级
2016年09月29日 多云/多云 21℃/15℃ 东风≤3级/东北风≤3级
2016年09月30日 晴/多云 25℃/16℃ 东北风≤3级/东北风≤3级
2016年10月01日 晴/晴 27℃/16℃ 东北风≤3级/东风≤3级
2016年10月02日 晴/晴 30℃/17℃ 东风≤3级/东风≤3级
2016年10月03日 多云/多云 30℃/17℃ 东风≤3级/东风≤3级
2016年10月04日 多云/多云 23℃/15℃ 东风≤3级/东风≤3级
2016年10月05日 阴/小雨 23℃/14℃ 东风≤3级/西南风≤3级
2016年10月06日 小雨/小到中雨 18℃/15℃ 西南风≤3级/西南风≤3级
2016年10月07日 小雨/多云 17℃/12℃ 东北风≤3级/东北风≤3级
2016年10月08日 多云/阴 21℃/13℃ 东风≤3级/东风≤3级
2016年10月09日 小雨/小雨 18℃/12℃ 东风≤3级/东风≤3级
2016年10月10日 小雨/阴 19℃/12℃ 东风≤3级/东风≤3级
2016年10月11日 小雨/阴 18℃/13℃ 东风≤3级/东北风≤3级
2016年10月12日 小雨/小雨 18℃/12℃ 东北风≤3级/东北风≤3级
2016年10月13日 阴/阴 19℃/13℃ 东北风≤3级/东风≤3级
2016年10月14日 小雨/小雨 19℃/12℃ 西南风≤3级/西南风≤3级
2016年10月15日 阴/晴 18℃/12℃ 东风≤3级/东风≤3级
2016年10月16日 阴/多云 23℃/12℃ 东风≤3级/东风≤3级
2016年10月17日 晴/晴 23℃/12℃ 东北风≤3级/东北风≤3级
2016年10月18日 晴/晴 24℃/12℃ 东北风≤3级/东北风≤3级
2016年10月19日 多云/多云 24℃/14℃ 东北风≤3级/东风≤3级
2016年10月20日 阴/多云 24℃/16℃ 东风≤3级/东风≤3级
2016年10月21日 小雨/小雨 20℃/15℃ 东风≤3级/西南风≤3级
2016年10月22日 小雨/小雨 16℃/12℃ 东风≤3级/东风≤3级
2016年10月23日 小雨/阴 16℃/10℃ 东北风≤3级/西南风≤3级
2016年10月24日 阵雨/多云 14℃/8℃ 东北风≤3级/东风≤3级
2016年10月25日 小雨/小雨 15℃/10℃ 东北风≤3级/东北风≤3级
2016年10月26日 小雨/小雨 13℃/9℃ 东风≤3级/东风≤3级
2016年10月27日 中雨/小雨 11℃/8℃ 东风≤3级/东风≤3级
2016年10月28日 阴/阴 11℃/8℃ 东风≤3级/东风≤3级
2016年10月29日 晴/晴 12℃/7℃ 东风≤3级/东风≤3级
2016年10月30日 阴/阴 13℃/8℃ 东风≤3级/东风≤3级
2016年10月31日 多云/多云 16℃/10℃ 东风≤3级/东风≤3级
2016年11月01日 多云/阴 12℃/6℃ 东北风≤3级/东北风≤3级
2016年11月02日 多云/晴 18℃/6℃ 东北风≤3级/东北风≤3级
2016年11月03日 晴/霾 19℃/9℃ 东风≤3级/东北风≤3级
2016年11月04日 霾/霾 20℃/8℃ 东北风≤3级/东北风≤3级
2016年11月05日 晴/晴 19℃/10℃ 东北风≤3级/东北风≤3级
2016年11月06日 小雨/小雨 13℃/8℃ 东北风≤3级/东北风≤3级
2016年11月07日 多云/晴 13℃/9℃ 东北风≤3级/东北风≤3级
2016年11月08日 局部多云/多云 14℃/7℃ 东北风2/东北风2
2016年11月09日 局部多云/晴 14℃/4℃ 东北偏北风2/东北偏北风2
2016年11月10日 晴/晴 14℃/4℃ 东北风≤3级/东北风≤3级
2016年11月11日 晴/晴 17℃/7℃ 东北风≤3级/东北风≤3级
2016年11月12日 多云/多云 19℃/7℃ 东北风≤3级/东北风≤3级
2016年11月13日 霾/霾 17℃/8℃ 东北风≤3级/东北风≤3级
2016年11月14日 霾/霾 17℃/6℃ 东北风≤3级/东北风≤3级
2016年11月15日 霾/小雨 15℃/8℃ 西南风≤3级/西南风≤3级
2016年11月16日 霾/霾 15℃/8℃ 东北风≤3级/东北风≤3级
2016年11月17日 霾/霾 13℃/6℃ 西南风≤3级/西南风≤3级
2016年11月18日 霾/霾 17℃/6℃ 东北风≤3级/东北风≤3级
2016年11月19日 霾/霾 15℃/4℃ 东北风≤3级/东北风≤3级
2016年11月20日 霾/阴 13℃/6℃ 西南风≤3级/西南风≤3级
2016年11月21日 小雨/小雨 9℃/2℃ 北风3-4级/北风3-4级
2016年11月22日 中雪/小雪 3℃/-2℃ 东风≤3级/东风≤3级
2016年11月23日 晴/晴 2℃/-3℃ 东北风≤3级/东北风≤3级
2016年11月24日 多云/多云 3℃/-1℃ 东风≤3级/东风≤3级
2016年11月25日 多云/多云 6℃/0℃ 东北风≤3级/东北风≤3级
2016年11月26日 晴/晴 12℃/1℃ 东北风≤3级/东北风≤3级
2016年11月27日 晴/多云 13℃/0℃ 东北风≤3级/东北风≤3级
2016年11月28日 霾/霾 9℃/2℃ 东风≤3级/东风≤3级
2016年11月29日 霾/霾 11℃/1℃ 东北风≤3级/东北风≤3级
2016年11月30日 晴/晴 15℃/1℃ 东风≤3级/东风≤3级
2016年12月01日 晴/多云 13℃/1℃ 东北风≤3级/东北风≤3级
2016年12月02日 霾/霾 10℃/2℃ 东北风≤3级/东北风≤3级
2016年12月03日 霾/霾 13℃/0℃ 东北风≤3级/东北风≤3级
2016年12月04日 晴/晴 17℃/2℃ 东北风≤3级/东北风≤3级
2016年12月05日 晴/晴 14℃/0℃ 东北风≤3级/东北风≤3级
2016年12月06日 晴/晴 11℃/1℃ 东北风≤3级/东北风≤3级
2016年12月07日 多云/晴 12℃/2℃ 东北风≤3级/东北风≤3级
2016年12月08日 霾/霾 14℃/1℃ 东北风≤3级/东北风≤3级
2016年12月09日 霾/霾 9℃/1℃ 东北风≤3级/东北风≤3级
2016年12月10日 霾/霾 8℃/2℃ 东风≤3级/东风≤3级
2016年12月11日 霾/霾 8℃/2℃ 东北风≤3级/东北风≤3级
2016年12月12日 多云/晴 9℃/2℃ 东北风≤3级/东北风≤3级
2016年12月13日 霾/霾 10℃/1℃ 东风≤3级/东北风≤3级
2016年12月14日 霾/霾 10℃/0℃ 东北风≤3级/东北风≤3级
2016年12月15日 霾/霾 10℃/-1℃ 东北风≤3级/东北风≤3级
